vehicle_type_encoded,vehicle_km,vehicle_km_log,transport_private,transport_public,transport_walk/bicycle,flight_freq_score,heating_carbon_factor,electronic_hours_total,electronic_hours_weighted,energy_efficiency_score,diet_carbon_factor,grocery_bill,grocery_bill_log,new_clothes_monthly,clothes_consumption_score,shower_freq_score,recycling_types_count,recycles_any,recycles_paper,recycles_plastic,recycles_glass,recycles_metal,weekly_waste_volume,monthly_waste_score,cooking_appliance_count,energy_intensive_appliances,social_activity_score,body_type_normal,body_type_obese,body_type_overweight,body_type_underweight,is_male,is_female,carbon_emission,vehicle_km_type_interaction,diet_grocery_interaction,lifestyle_composite
2,472,6.159095388491933,True,False,False,3,0.8,37,45.5,1.0,1.5,165,5.111987788356544,24,4.0,2,2,1,1,0,1,0,20,80,1,0,3,False,True,False,False,1,0,2582,944,2.475,9.666666666666666
2,5737,8.65486599654131,True,False,False,5,0.8,25,27.5,1.0,1.0,62,4.143134726391533,20,3.0,2,2,1,1,0,0,1,10,40,2,2,2,False,False,True,False,1,0,4284,11474,0.62,8.0
0,88,4.48863636973214,False,False,True,1,0.5,20,28.5,0.5,2.0,94,4.553876891600541,0,0.0,1,3,1,1,1,0,1,60,240,5,3,2,False,True,False,False,0,1,807,0,1.88,1.0
0,558,6.326149473155099,False,True,False,3,0.5,27,29.0,0.5,1.0,259,5.560681631015528,50,4.0,2,1,1,0,0,0,1,80,320,3,3,3,False,False,False,True,0,1,1991,0,2.59,18.333333333333332
0,752,6.6240652277998935,False,True,False,1,0.5,28,35.0,0.5,1.5,67,4.219507705176107,37,4.0,1,1,1,0,1,0,0,60,240,1,0,2,False,True,False,False,1,0,1817,0,1.005,13.333333333333334
0,71,4.276666119016055,False,False,True,1,0.3,20,25.0,0.0,2.0,130,4.875197323201151,15,3.0,2,1,1,0,0,1,0,10,40,3,3,1,False,True,False,False,1,0,1490,0,2.6,6.0
0,1028,6.9363427358340495,False,True,False,3,0.5,17,23.5,1.0,2.5,258,5.556828061699537,44,4.0,1,2,1,0,0,1,1,10,40,4,3,1,False,False,False,True,0,1,1561,0,6.45,15.333333333333334
0,1527,7.331714969726466,False,True,False,3,0.3,33,44.5,1.0,1.0,189,5.247024072160486,34,4.0,3,2,1,0,0,1,1,40,160,3,2,2,False,True,False,False,0,1,2202,0,1.89,13.0
0,88,4.48863636973214,False,False,True,3,0.8,39,51.0,0.5,1.5,262,5.572154032177765,8,2.0,2,0,0,0,0,0,0,100,400,3,2,2,False,False,False,True,0,1,2024,0,3.93,4.0
0,73,4.30406509320417,False,False,True,3,0.4,23,23.5,0.0,2.0,157,5.062595033026967,42,4.0,2,3,1,1,0,1,1,40,160,5,3,1,True,False,False,False,0,1,1659,0,3.14,15.0
5,8320,9.02653771890043,True,False,False,5,0.3,13,17.5,0.5,2.0,280,5.638354669333745,0,0.0,2,2,1,1,0,0,1,25,100,4,3,3,True,False,False,False,0,1,3911,41600,5.6,1.6666666666666667
0,72,4.290459441148391,False,False,True,0,0.8,21,26.5,1.0,1.5,121,4.804021044733257,4,1.0,4,2,1,0,0,1,1,60,240,4,2,2,True,False,False,False,1,0,1204,0,1.815,3.3333333333333335
0,9,2.302585092994046,False,False,True,5,0.8,16,16.5,1.0,1.0,174,5.1647859739235145,40,4.0,1,3,1,1,1,1,0,40,160,2,0,3,False,False,False,True,0,1,2431,0,1.74,14.666666666666666
0,60,4.110873864173311,False,False,True,3,0.5,36,44.0,0.5,1.5,173,5.159055299214529,14,3.0,2,2,1,0,1,1,0,20,80,0,0,2,False,True,False,False,1,0,1640,0,2.595,6.0
0,13,2.6390573296152584,False,False,True,3,0.4,32,40.5,0.0,1.0,199,5.298317366548036,6,2.0,4,3,1,1,0,1,1,50,200,5,3,2,False,False,False,True,1,0,1648,0,1.99,4.0
0,32,3.4965075614664802,False,False,True,1,0.3,32,39.5,0.5,2.5,94,4.553876891600541,5,1.0,1,2,1,0,0,1,1,30,120,3,2,1,False,False,False,True,1,0,1002,0,2.35,2.3333333333333335
0,49,3.912023005428146,False,False,True,3,0.8,35,44.5,1.0,2.0,64,4.174387269895637,47,4.0,1,2,1,0,1,1,0,5,20,5,3,1,False,False,False,True,0,1,1771,0,1.28,16.333333333333332
0,1351,7.20934025660291,False,True,False,5,0.5,25,35.0,1.0,2.5,100,4.61512051684126,24,4.0,4,3,1,1,1,1,0,30,120,4,2,1,False,False,True,False,0,1,2028,0,2.5,9.666666666666666
0,1726,7.454141078146678,False,True,False,5,0.8,20,27.5,0.0,1.5,240,5.484796933490655,19,3.0,3,2,1,0,0,1,1,20,80,2,1,3,True,False,False,False,0,1,2540,0,3.6,8.333333333333334
0,1021,6.92951677076365,False,True,False,0,0.5,24,31.0,0.0,2.5,245,5.5053315359323625,48,4.0,2,3,1,1,0,1,1,70,280,4,3,2,False,False,False,True,0,1,1386,0,6.125,17.333333333333332
0,62,4.143134726391533,False,False,True,1,0.8,33,44.0,0.5,2.0,270,5.602118820879701,21,4.0,2,1,1,0,1,0,0,25,100,5,3,2,True,False,False,False,0,1,1679,0,5.4,8.333333333333334
4,9488,9.15788851197376,True,False,False,5,0.3,34,42.0,1.0,2.5,294,5.68697535633982,20,3.0,2,1,1,0,0,1,0,25,100,0,0,3,False,False,True,False,1,0,3141,37952,7.35,8.333333333333334
0,1037,6.945051063725834,False,True,False,5,0.3,24,24.0,0.0,1.5,87,4.477336814478207,11,3.0,3,2,1,1,1,0,0,80,320,5,3,1,True,False,False,False,1,0,2627,0,1.305,5.0
4,9555,9.1649245084457,True,False,False,0,0.3,16,22.5,1.0,2.0,209,5.3471075307174685,43,4.0,1,3,1,1,0,1,1,40,160,4,3,1,False,False,False,True,1,0,1188,38220,4.18,15.0
2,9031,9.108529105829499,True,False,False,0,0.5,6,6.5,1.0,2.0,124,4.8283137373023015,11,3.0,4,2,1,0,1,1,0,150,600,3,2,1,False,False,False,True,1,0,3174,18062,2.48,5.333333333333333
0,1461,7.2875606403097235,False,True,False,3,0.4,31,40.5,0.5,1.5,276,5.6240175061873385,5,1.0,3,1,1,0,0,0,1,140,560,5,3,2,False,False,True,False,0,1,2327,0,4.14,3.3333333333333335
0,39,3.6888794541139363,False,False,True,5,0.3,31,42.0,1.0,1.0,90,4.51085950651685,7,2.0,2,3,1,1,1,0,1,30,120,3,1,1,False,False,True,False,0,1,1822,0,0.9,3.3333333333333335
2,5033,8.523970175695261,True,False,False,0,0.4,24,24.0,0.0,1.0,136,4.919980925828125,43,4.0,1,3,1,1,1,0,1,60,240,2,1,2,False,True,False,False,0,1,2665,10066,1.36,15.333333333333334
0,1065,6.97166860472579,False,True,False,3,0.5,29,40.0,1.0,1.0,246,5.5093883366279774,43,4.0,2,2,1,0,1,0,1,120,480,5,3,2,False,False,False,True,1,0,2129,0,2.46,15.666666666666666
0,927,6.833031732786201,False,True,False,1,0.3,39,48.0,1.0,2.0,94,4.553876891600541,10,2.0,1,2,1,1,0,1,0,50,200,1,1,3,True,False,False,False,1,0,1425,0,1.88,4.666666666666667
3,2277,7.731053144007127,True,False,False,3,0.5,20,20.0,0.5,1.5,253,5.537334267018537,11,3.0,3,3,1,1,0,1,1,20,80,1,0,1,False,False,True,False,1,0,1690,6831,3.795,5.0
0,97,4.584967478670572,False,False,True,1,0.4,13,19.5,0.5,2.5,200,5.303304908059076,18,3.0,3,1,1,0,0,0,1,70,280,2,0,1,False,True,False,False,0,1,1717,0,5.0,7.333333333333333
5,7272,8.89192414015454,True,False,False,3,0.8,9,11.0,0.0,1.0,281,5.641907070938114,38,4.0,1,2,1,1,0,1,0,40,160,3,2,2,True,False,False,False,1,0,4060,36360,2.81,13.666666666666666
1,5260,8.568076401730806,True,False,False,1,0.5,31,38.0,0.0,1.5,82,4.418840607796598,18,3.0,1,2,1,0,1,1,0,90,360,4,3,2,False,True,False,False,0,1,3262,5260,1.23,7.0
0,1750,7.467942332285852,False,True,False,1,0.8,21,25.5,1.0,2.0,73,4.30406509320417,30,4.0,3,2,1,1,0,1,0,30,120,5,3,3,False,False,True,False,0,1,1674,0,1.46,12.0
3,2998,8.00603417874901,True,False,False,3,0.4,3,3.0,0.5,1.5,246,5.5093883366279774,36,4.0,2,1,1,0,0,0,1,20,80,3,1,3,False,True,False,False,1,0,3135,8994,3.69,13.666666666666666
5,9147,9.121290555142672,True,False,False,1,0.4,21,21.5,1.0,2.0,98,4.59511985013459,49,4.0,1,2,1,0,1,1,0,150,600,4,2,2,False,False,False,True,1,0,4465,45735,1.96,17.333333333333332
0,1947,7.5745584842024805,False,True,False,1,0.5,31,42.5,0.5,2.0,256,5.54907608489522,33,4.0,4,0,0,0,0,0,0,90,360,1,0,1,False,False,True,False,1,0,1984,0,5.12,12.666666666666666
5,4885,8.494129251817686,True,False,False,5,0.5,24,34.5,1.0,1.5,287,5.662960480135946,21,4.0,1,2,1,0,1,0,1,20,80,4,2,3,False,False,True,False,0,1,3246,24425,4.305,8.333333333333334
0,20,3.044522437723423,False,False,True,3,0.5,15,15.5,0.0,2.5,63,4.1588830833596715,6,2.0,2,4,1,1,1,1,1,80,320,5,3,1,False,True,False,False,0,1,1351,0,1.575,3.0
0,23,3.1780538303479458,False,False,True,0,0.8,26,38.0,0.0,1.5,158,5.0689042022202315,33,4.0,1,1,1,0,0,1,0,30,120,1,0,3,False,True,False,False,1,0,1929,0,2.37,12.333333333333334
0,34,3.5553480614894135,False,False,True,3,0.5,34,46.0,1.0,2.5,241,5.488937726156687,15,3.0,4,0,0,0,0,0,0,100,400,4,3,3,False,True,False,False,1,0,2719,0,6.025,7.333333333333333
0,59,4.0943445622221,False,False,True,3,0.8,30,35.5,1.0,1.5,176,5.176149732573829,41,4.0,4,1,1,1,0,0,0,20,80,2,1,1,False,True,False,False,0,1,2336,0,2.64,15.333333333333334
0,682,6.52649485957079,False,True,False,0,0.3,3,3.0,0.5,1.5,189,5.247024072160486,35,4.0,1,1,1,0,0,1,0,30,120,4,2,3,True,False,False,False,0,1,1270,0,2.835,13.0
0,10,2.3978952727983707,False,False,True,0,0.4,44,54.0,1.0,1.5,214,5.3706380281276624,12,3.0,1,1,1,0,0,1,0,120,480,2,0,3,False,True,False,False,0,1,1803,0,3.21,5.333333333333333
0,10,2.3978952727983707,False,False,True,5,0.5,24,27.5,0.5,1.0,264,5.579729825986222,22,4.0,2,2,1,1,0,1,0,10,40,4,3,2,True,False,False,False,0,1,1816,0,2.64,8.666666666666666
1,7964,8.98281222234415,True,False,False,0,0.8,25,33.0,0.0,2.5,213,5.365976015021851,43,4.0,4,2,1,1,1,0,0,5,20,2,1,2,True,False,False,False,1,0,4638,7964,5.325,16.333333333333332
3,3606,8.19063168090354,True,False,False,1,0.8,38,46.0,0.5,2.5,281,5.641907070938114,8,2.0,4,2,1,0,1,0,1,15,60,1,0,3,False,False,False,True,0,1,1909,10818,7.025,5.0
0,536,6.285998094508865,False,True,False,3,0.4,3,4.0,1.0,1.0,280,5.638354669333745,30,4.0,1,1,1,0,1,0,0,40,160,1,1,2,True,False,False,False,1,0,2021,0,2.8,11.0
0,1564,7.355641102974253,False,True,False,1,0.4,27,29.0,0.0,2.5,125,4.836281906951478,15,3.0,3,1,1,0,0,0,1,100,400,2,1,1,True,False,False,False,1,0,1896,0,3.125,6.333333333333333
0,78,4.3694478524670215,False,False,True,3,0.5,14,19.5,0.0,1.0,188,5.241747015059643,21,4.0,2,1,1,1,0,0,0,20,80,3,3,1,False,True,False,False,1,0,1770,0,1.88,8.0
0,98,4.59511985013459,False,False,True,0,0.3,15,21.0,0.0,2.5,251,5.529429087511423,47,4.0,2,3,1,1,1,0,1,5,20,2,0,3,True,False,False,False,0,1,1323,0,6.275,17.333333333333332
0,1820,7.507141079727608,False,True,False,5,0.3,30,40.5,1.0,2.0,285,5.655991810819852,24,4.0,2,1,1,0,1,0,0,5,20,2,2,1,True,False,False,False,0,1,2269,0,5.7,9.0
0,243,5.497168225293202,False,True,False,0,0.3,25,35.0,1.0,1.0,234,5.459585514144159,36,4.0,3,3,1,0,1,1,1,120,480,4,3,1,False,True,False,False,1,0,1918,0,2.34,13.333333333333334
0,1586,7.369600720526409,False,True,False,5,0.4,10,14.0,1.0,1.0,91,4.5217885770490405,43,4.0,2,3,1,1,1,0,1,35,140,3,1,2,False,False,True,False,0,1,2477,0,0.91,15.666666666666666
0,11,2.4849066497880004,False,False,True,3,0.4,22,25.0,0.0,2.5,118,4.77912349311153,10,2.0,2,1,1,1,0,0,0,60,240,2,1,1,True,False,False,False,0,1,1444,0,2.95,4.333333333333333
0,72,4.290459441148391,False,False,True,0,0.4,31,38.5,0.5,1.5,75,4.330733340286331,42,4.0,4,3,1,1,1,1,0,25,100,3,2,1,False,True,False,False,0,1,1254,0,1.125,15.666666666666666
0,1157,7.05444965813294,False,True,False,0,0.5,29,38.5,0.0,1.5,134,4.90527477843843,35,4.0,3,1,1,0,0,1,0,25,100,3,3,1,False,False,True,False,1,0,1411,0,2.01,13.0
0,1380,7.2305631534092925,False,True,False,0,0.3,15,18.5,0.0,2.0,282,5.645446897643238,11,3.0,2,2,1,0,1,1,0,120,480,2,2,3,False,False,False,True,1,0,1605,0,5.64,5.333333333333333
5,5765,8.659733878198347,True,False,False,0,0.5,25,28.5,0.0,1.5,110,4.709530201312334,2,1.0,1,1,1,1,0,0,0,50,200,2,1,3,False,True,False,False,1,0,3054,28825,1.65,2.0
0,92,4.532599493153256,False,False,True,5,0.4,23,27.5,1.0,1.5,202,5.313205979041787,16,3.0,1,0,0,0,0,0,0,180,720,2,2,1,False,False,True,False,0,1,2902,0,3.03,6.0
5,7797,8.961622569542543,True,False,False,3,0.5,37,48.0,1.0,2.0,56,4.04305126783455,8,2.0,1,2,1,0,1,1,0,140,560,2,1,1,False,False,True,False,1,0,4301,38985,1.12,3.3333333333333335
0,50,3.9318256327243257,False,False,True,5,0.5,34,40.0,1.0,1.0,223,5.4116460518550396,35,4.0,4,1,1,0,1,0,0,15,60,4,3,3,True,False,False,False,0,1,2308,0,2.23,14.0
1,7629,8.939843124278502,True,False,False,3,0.3,19,27.5,0.0,1.5,202,5.313205979041787,37,4.0,3,3,1,0,1,1,1,10,40,2,2,3,True,False,False,False,0,1,4132,7629,3.03,14.333333333333334
1,2367,7.769800996003896,True,False,False,3,0.3,24,24.5,0.0,1.5,114,4.74493212836325,41,4.0,2,3,1,1,0,1,1,30,120,2,1,2,False,False,True,False,1,0,2993,2367,1.71,15.0
1,3960,8.284251797621916,True,False,False,3,0.3,8,11.5,1.0,2.5,141,4.955827057601261,21,4.0,2,2,1,1,1,0,0,10,40,0,0,3,False,False,True,False,0,1,3098,3960,3.525,8.666666666666666
0,42,3.7612001156935624,False,False,True,1,0.8,29,38.5,1.0,1.0,236,5.4680601411351315,15,3.0,4,2,1,0,1,0,1,60,240,0,0,2,False,False,True,False,0,1,1364,0,2.36,7.0
5,6455,8.772765209949785,True,False,False,1,0.8,29,36.5,1.0,2.5,95,4.564348191467836,31,4.0,2,3,1,1,1,1,0,20,80,4,2,2,True,False,False,False,0,1,2941,32275,2.375,11.666666666666666
0,41,3.7376696182833684,False,False,True,3,0.5,10,13.0,0.5,1.5,249,5.521460917862246,2,1.0,3,1,1,1,0,0,0,80,320,1,0,1,False,False,True,False,0,1,1349,0,3.735,2.0
0,71,4.276666119016055,False,False,True,0,0.4,40,52.0,1.0,2.0,213,5.365976015021851,17,3.0,2,2,1,0,1,1,0,10,40,1,0,3,False,False,True,False,0,1,1038,0,4.26,7.333333333333333
0,39,3.6888794541139363,False,False,True,0,0.3,31,39.0,0.0,1.5,81,4.406719247264253,31,4.0,4,2,1,0,1,1,0,70,280,0,0,1,False,True,False,False,1,0,1815,0,1.215,12.0
0,50,3.9318256327243257,False,False,True,5,0.8,37,43.5,0.0,1.5,91,4.5217885770490405,29,4.0,3,2,1,0,0,1,1,30,120,5,3,1,False,False,True,False,0,1,2566,0,1.365,11.0
4,8707,9.071997422354437,True,False,False,5,0.3,25,26.0,0.5,1.0,291,5.676753802268282,23,4.0,4,3,1,0,1,1,1,30,120,3,1,2,False,False,True,False,0,1,2439,34828,2.91,9.666666666666666
5,167,5.123963979403259,True,False,False,5,0.5,29,33.5,1.0,2.0,70,4.2626798770413155,7,2.0,4,2,1,0,1,0,1,10,40,2,1,2,False,True,False,False,0,1,2056,835,1.4,4.333333333333333
0,631,6.448889394146858,False,True,False,5,0.4,20,21.0,0.5,2.0,89,4.499809670330265,0,0.0,3,4,1,1,1,1,1,70,280,3,2,3,False,False,True,False,0,1,2299,0,1.78,2.0
0,194,5.272999558563747,False,True,False,1,0.5,33,40.5,0.5,1.0,121,4.804021044733257,16,3.0,4,2,1,0,1,0,1,120,480,3,2,1,False,False,True,False,1,0,1492,0,1.21,7.0
0,46,3.8501476017100584,False,False,True,1,0.8,29,35.0,0.0,2.5,198,5.293304824724492,45,4.0,2,3,1,1,1,1,0,10,40,2,1,3,False,False,False,True,0,1,1692,0,4.95,16.666666666666668
0,37,3.6375861597263857,False,False,True,3,0.3,18,25.5,1.0,1.5,234,5.459585514144159,29,4.0,3,1,1,1,0,0,0,90,360,3,2,1,False,True,False,False,1,0,2581,0,3.51,11.0
0,31,3.4657359027997265,False,False,True,1,0.3,1,1.0,0.5,1.5,84,4.442651256490317,1,1.0,1,2,1,0,0,1,1,40,160,2,2,2,False,False,True,False,1,0,950,0,1.26,1.3333333333333333
5,2880,7.9658927350845286,True,False,False,0,0.8,11,16.0,0.5,1.0,182,5.209486152841421,9,2.0,4,3,1,1,1,1,0,25,100,4,3,3,True,False,False,False,1,0,1923,14400,1.82,5.333333333333333
0,6,1.9459101490553132,False,False,True,0,0.3,38,47.5,1.0,2.0,275,5.62040086571715,49,4.0,1,1,1,1,0,0,0,60,240,1,0,3,False,False,True,False,0,1,1751,0,5.5,17.666666666666668
0,40,3.713572066704308,False,False,True,5,0.8,8,8.5,0.5,2.0,228,5.43372200355424,35,4.0,3,1,1,0,0,1,0,30,120,2,0,2,False,False,False,True,0,1,2562,0,4.56,13.333333333333334
0,1,0.6931471805599453,False,False,True,3,0.3,33,37.5,0.0,1.0,140,4.948759890378168,24,4.0,3,2,1,1,1,0,0,120,480,4,3,1,False,False,True,False,1,0,2456,0,1.4,9.333333333333334
0,1341,7.201916317531627,False,True,False,0,0.5,23,34.0,0.5,1.5,232,5.4510384535657,8,2.0,3,3,1,0,1,1,1,30,120,2,1,2,False,False,True,False,0,1,657,0,3.48,4.333333333333333
0,393,5.976350909297934,False,True,False,5,0.5,30,40.5,0.0,2.0,115,4.7535901911063645,13,3.0,4,2,1,1,0,0,1,15,60,2,0,3,True,False,False,False,0,1,1758,0,2.3,6.666666666666667
0,191,5.2574953720277815,False,True,False,3,0.4,14,15.0,0.5,1.0,157,5.062595033026967,44,4.0,2,2,1,0,1,1,0,40,160,1,0,1,False,True,False,False,0,1,2184,0,1.57,15.666666666666666
0,131,4.882801922586371,False,True,False,5,0.8,37,44.0,0.0,2.0,156,5.056245805348308,20,3.0,4,2,1,1,0,1,0,30,120,5,3,2,False,True,False,False,0,1,3009,0,3.12,8.666666666666666
2,1419,7.258412150595307,True,False,False,5,0.3,28,32.0,1.0,2.5,252,5.53338948872752,43,4.0,2,2,1,0,1,1,0,100,400,3,3,3,False,False,False,True,1,0,3748,2838,6.3,16.0
4,9159,9.122601457668177,True,False,False,1,0.5,18,19.0,0.0,1.0,162,5.093750200806762,26,4.0,2,0,0,0,0,0,0,35,140,1,0,1,True,False,False,False,0,1,1122,36636,1.62,9.666666666666666
3,8016,8.989319566042951,True,False,False,0,0.3,37,47.5,0.0,1.5,145,4.983606621708336,14,3.0,2,2,1,0,1,0,1,15,60,2,1,1,False,True,False,False,1,0,2810,24048,2.175,5.666666666666667
0,87,4.477336814478207,False,False,True,0,0.5,47,59.0,0.0,2.5,214,5.3706380281276624,32,4.0,2,1,1,0,1,0,0,30,120,1,0,1,False,False,True,False,0,1,1346,0,5.35,11.666666666666666
0,3,1.3862943611198906,False,False,True,1,0.4,27,34.5,1.0,1.0,126,4.844187086458591,3,1.0,4,3,1,1,1,0,1,25,100,2,1,1,False,False,False,True,0,1,671,0,1.26,2.6666666666666665
0,13,2.6390573296152584,False,False,True,3,0.3,35,44.5,1.0,2.5,91,4.5217885770490405,44,4.0,4,2,1,1,0,1,0,30,120,1,0,3,False,False,False,True,0,1,1695,0,2.275,17.0
0,74,4.31748811353631,False,False,True,0,0.5,25,28.0,0.0,2.5,205,5.327876168789581,2,1.0,3,2,1,0,1,0,1,60,240,2,1,1,True,False,False,False,0,1,810,0,5.125,2.0
3,7743,8.954673628956414,True,False,False,3,0.3,5,5.5,1.0,2.0,285,5.655991810819852,33,4.0,4,1,1,1,0,0,0,90,360,4,3,1,False,False,False,True,0,1,2768,23229,5.7,12.666666666666666
0,993,6.901737206656574,False,True,False,0,0.4,24,29.5,0.5,1.0,178,5.187385805840755,2,1.0,3,3,1,1,1,1,0,140,560,1,0,1,False,False,False,True,0,1,1033,0,1.78,2.0
0,1997,7.599901959208498,False,True,False,1,0.8,12,15.0,0.0,2.5,236,5.4680601411351315,17,3.0,4,3,1,1,1,1,0,80,320,3,3,2,False,True,False,False,0,1,2046,0,5.9,7.666666666666667
4,2721,7.909122183211411,True,False,False,1,0.8,45,56.5,0.0,2.5,286,5.659482215759621,30,4.0,3,2,1,0,0,1,1,30,120,5,3,1,False,True,False,False,0,1,2171,10884,7.15,11.333333333333334
0,5,1.791759469228055,False,False,True,1,0.8,25,35.5,1.0,1.5,108,4.6913478822291435,0,0.0,2,2,1,1,1,0,0,70,280,3,1,3,True,False,False,False,0,1,1312,0,1.62,1.6666666666666667
0,941,6.848005274576363,False,True,False,1,0.3,42,54.0,0.0,1.0,76,4.343805421853684,3,1.0,4,2,1,0,1,0,1,20,80,2,1,2,False,True,False,False,1,0,1209,0,0.76,3.0
2,8815,9.084323531392696,True,False,False,3,0.8,16,19.5,0.5,1.0,270,5.602118820879701,37,4.0,3,1,1,0,0,0,1,10,40,1,0,2,False,False,False,True,1,0,4017,17630,2.7,14.0
4,3276,8.094683648698815,True,False,False,1,0.3,23,29.5,0.0,2.0,146,4.990432586778736,10,2.0,3,4,1,1,1,1,1,30,120,2,0,3,True,False,False,False,0,1,877,13104,2.92,5.333333333333333
